"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Botswana","BWA","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7446","7.1652","6.7299","6.4996","6.4421","7.0989","6.9086","7.1418","7.4247","7.2401","7.0854","7.4893","6.6538","8.6067","9.7647","10.2096","9.327","9.6097","10.6126","9.349","7.6837","8.7266","9.5717","","",
"Central African Republic","CAF","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-159.84331062","-159.41451062","-160.41191062","-159.27441062","-159.92121062","-159.18081062","-159.12711062","-158.12771062","-158.10171062","-158.73741062","-158.10881062","-154.15165153","-154.12087742","-158.00917085","-160.00326018","-157.04717044","-151.75556671","-148.43594157","-148.09463731","-148.28063731","-147.87473731","-147.74533731","-147.34783731","","",
"Canada","CAN","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","671.419553332569","653.131141915897","710.428099522883","730.108631966746","717.940335904393","744.108018876903","727.697824756966","752.392769991433","722.335742440723","654.074151936484","705.349573092846","729.239129198877","716.132665445326","727.468681340793","719.90984686477","754.642013698837","738.490661929643","753.068568081473","781.818417507044","768.291634469537","697.706858779863","710.097180376083","727.074380376083","","",
"Central Europe and the Baltics","CEB","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","843.388176457343","860.901553207641","837.821744325662","867.854871986962","861.264251337207","861.728928201384","893.08795936383","904.244089272452","876.276626900619","807.227923380351","835.14423519997","836.231105527011","806.526593624843","782.558162027641","772.445959445065","788.112904435997","790.735913962802","821.413921532838","831.541723992595","809.303362865455","761.017964862867","812.068537188222","796.522337188222","","",
"Switzerland","CHE","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7976405116153","54.2165579572462","50.8104188562677","52.0779999149087","52.6530809676567","53.1168309012637","53.4825298295843","52.5601650992017","52.9461806551817","50.0243302310745","52.1394233849413","49.948205335034","49.7768209652703","51.8094685062422","49.7397642509864","47.3020029101991","47.7637746939681","47.1433769745889","46.4482301798287","45.5757199719965","43.4941876673603","44.794442785024","41.625642785024","","",
"Channel Islands","CHI","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.21013750056","15.7545867966149","26.9340807472276","15.762361577195","26.9073803609092","28.79078218759","27.3473064278447","47.0078421164793","52.2812201506322","44.6058996663955","39.07852939981","49.0970680008897","59.1652376929275","54.28123050241","54.4129610984317","69.7873160897161","59.477757928782","138.399812272623","73.697198674956","82.9913880497149","74.363495666856","75.563395666856","75.660595666856","","",
"China","CHN","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4380.7358","4574.0699","4904.5843","5611.6746","6471.7613","7329.086","8080.9951","8648.5945","8831.9967","9412.9723","10233.1883","11189.4154","11511.4321","12021.9124","12144.59","11904.3842666667","11827.6026333333","12020.6042","12615.2192","12935.0573","13157.4247","13835.1451","13819.168","","",
"Cote d'Ivoire","CIV","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.549984","30.81358","28.787986","28.593613","30.49894","29.245156","31.982541","33.125758","35.039332","33.97554","36.876888","37.578098","44.054835","43.684728","47.073803","46.76143","48.727223","49.224029","50.9561","57.788231","56.707907","58.735907","59.376007","","",
"Cameroon","CMR","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-46.2297","-46.1454","-47.2841","-46.5853","-46.8256","-46.6493","-47.3484","-46.504","-46.7209","-45.9358","-46.3125","-46.6932","-45.9291","-43.919","-41.6382","-38.605","-38.4061","-39.6573","-39.2993","-38.5976","-37.8268","-37.7137","-37.1128","","",
"Congo, Dem. Rep.","COD","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","443.131385","440.698885","440.037785","441.131585","441.620085","442.296085","442.785185","443.701185","444.292485","444.338085","447.410585","555.003487","561.663487","565.282387","569.096687","47.787312","48.261412","50.898312","50.294812","51.893412","53.126412","54.568012","57.922312","","",
"Congo, Rep.","COG","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.796","4.8578","-2.5907","-1.3483","-0.643599999999999","2.4744","3.985","0.444199999999999","-0.223700000000001","0.966000000000001","2.2792","0.909600000000001","-0.351700000000001","-1.4219","-1.4793","-5.7523","-10.1638","-8.3977","-4.4872","-3.3318","9.7219","4.8852","5.4816","","",
"Colombia","COL","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256.73418988342","239.154703285585","237.584072521086","252.425422311671","252.589589602102","243.611048993736","240.823756987934","247.092754059277","243.67731661421","242.532627447707","247.8685758395","260.311522077363","255.610909490054","251.013056051157","254.45900766739","247.975612551874","269.02469084762","292.452494174765","292.118092165627","297.020892165627","294.929792165627","306.502692165627","311.532492165627","","",
"Comoros","COM","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.9425","-1.899","-1.8474","-1.7838","-1.7231","-1.7016","-1.6495","-1.6824","-1.6562","-1.6018","-1.5344","-1.5022","-1.4501","-1.3731","-1.3489","-1.3522","-1.3362","-1.2934","-1.2835","-1.2499","-1.5279","-1.3664","-1.3823","","",
"Cabo Verde","CPV","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.50247","0.531308","0.567946","0.504284","0.540022","0.75966","0.814284","0.889608","0.867432","0.853856","0.89868","1.032308","0.916336","0.905864","0.949292","0.96492","1.001070675","1.02612135","1.023872025","1.0743227","1.1307227","1.1539227","1.2017227","","",
"Costa Rica","CRI","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5335","26.2679","23.8565","21.8431","19.6596","17.2152","17.31372","18.13304","17.97196","17.45888","17.2727","17.2535","18.0358","19.0502","13.148","14.6913","13.4173","12.3793","12.8906","12.7823","11.2988","12.6131","12.8538","","",
"Caribbean small states","CSS","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-155.116005924846","-150.9899262195","-152.744185840296","-156.67405204176","-159.002718635568","-160.437486475364","-161.15862770348","-162.494324944283","-163.639116080801","-163.303533129785","-162.551201825942","-156.838545707498","-154.534851256868","-155.563001308103","-150.978182016926","-156.438696223901","-159.160579475769","-163.289606877766","-163.613168169222","-156.479400454936","-157.938573454936","-160.285771454936","-159.396171454936","","",
"Cuba","CUB","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.954","65.2991","63.9608","63.0815","62.0749","62.1997","63.5745","64.6204","64.1472","64.8367","23.5548","23.4834","24.4916","24.8591","20.2846","22.1761","20.2736","18.5005","18.8641","16.4337","12.5382","11.8694","11.2568","","",
"Curacao","CUW","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
